"global_step","ppo_reach-v2_0321_steps2e5_with_pretrain - _step","ppo_reach-v2_0321_steps2e5_with_pretrain - _step__MIN","ppo_reach-v2_0321_steps2e5_with_pretrain - _step__MAX","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean__MIN","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean__MAX","ppo_reach-v2 - _step","ppo_reach-v2 - _step__MIN","ppo_reach-v2 - _step__MAX","ppo_reach-v2 - rollout/ep_rew_mean","ppo_reach-v2 - rollout/ep_rew_mean__MIN","ppo_reach-v2 - rollout/ep_rew_mean__MAX"
"141312","68","68","68","4746.8896484375","4746.8896484375","4746.8896484375","68","68","68","4790.49169921875","4790.49169921875","4790.49169921875"
"143360","69","69","69","4748.73876953125","4748.73876953125","4748.73876953125","69","69","69","4793.619140625","4793.619140625","4793.619140625"
"145408","70","70","70","4753.1181640625","4753.1181640625","4753.1181640625","70","70","70","4795.89208984375","4795.89208984375","4795.89208984375"
"147456","71","71","71","4760.62890625","4760.62890625","4760.62890625","71","71","71","4800.2841796875","4800.2841796875","4800.2841796875"
"149504","72","72","72","4767.79248046875","4767.79248046875","4767.79248046875","72","72","72","4805.82861328125","4805.82861328125","4805.82861328125"
"151552","73","73","73","4772.9794921875","4772.9794921875","4772.9794921875","73","73","73","4813.9931640625","4813.9931640625","4813.9931640625"
"153600","74","74","74","4782.56884765625","4782.56884765625","4782.56884765625","74","74","74","4817.41162109375","4817.41162109375","4817.41162109375"
"155648","75","75","75","4791.29296875","4791.29296875","4791.29296875","75","75","75","4819.22509765625","4819.22509765625","4819.22509765625"
"157696","76","76","76","4800.2724609375","4800.2724609375","4800.2724609375","76","76","76","4820.98046875","4820.98046875","4820.98046875"
"159744","77","77","77","4808.298828125","4808.298828125","4808.298828125","77","77","77","4825.7900390625","4825.7900390625","4825.7900390625"
"161792","78","78","78","4815.4931640625","4815.4931640625","4815.4931640625","78","78","78","4827.18994140625","4827.18994140625","4827.18994140625"
"163840","79","79","79","4822.18994140625","4822.18994140625","4822.18994140625","79","79","79","4827.47119140625","4827.47119140625","4827.47119140625"
"165888","80","80","80","4828.2080078125","4828.2080078125","4828.2080078125","80","80","80","4832.5615234375","4832.5615234375","4832.5615234375"
"167936","81","81","81","4833.11962890625","4833.11962890625","4833.11962890625","81","81","81","4833.61669921875","4833.61669921875","4833.61669921875"
"169984","82","82","82","4837.6435546875","4837.6435546875","4837.6435546875","82","82","82","4834.16259765625","4834.16259765625","4834.16259765625"
"172032","83","83","83","4841.60009765625","4841.60009765625","4841.60009765625","83","83","83","4835.51513671875","4835.51513671875","4835.51513671875"
"174080","84","84","84","4845.4072265625","4845.4072265625","4845.4072265625","84","84","84","4835.12353515625","4835.12353515625","4835.12353515625"
"176128","85","85","85","4848.32763671875","4848.32763671875","4848.32763671875","85","85","85","4836.13427734375","4836.13427734375","4836.13427734375"
"178176","86","86","86","4851.48486328125","4851.48486328125","4851.48486328125","86","86","86","4828.89013671875","4828.89013671875","4828.89013671875"
"180224","87","87","87","4854.13330078125","4854.13330078125","4854.13330078125","87","87","87","4829.07080078125","4829.07080078125","4829.07080078125"
"182272","88","88","88","4856.53955078125","4856.53955078125","4856.53955078125","88","88","88","4829.07470703125","4829.07470703125","4829.07470703125"
"184320","89","89","89","4858.64794921875","4858.64794921875","4858.64794921875","89","89","89","4829.18017578125","4829.18017578125","4829.18017578125"
"186368","90","90","90","4860.12890625","4860.12890625","4860.12890625","90","90","90","4829.568359375","4829.568359375","4829.568359375"
"188416","91","91","91","4861.69091796875","4861.69091796875","4861.69091796875","91","91","91","4833.6435546875","4833.6435546875","4833.6435546875"
"190464","92","92","92","4863.10595703125","4863.10595703125","4863.10595703125","92","92","92","4833.8251953125","4833.8251953125","4833.8251953125"
"192512","93","93","93","4864.8818359375","4864.8818359375","4864.8818359375","93","93","93","4833.60888671875","4833.60888671875","4833.60888671875"
"194560","94","94","94","4865.9775390625","4865.9775390625","4865.9775390625","94","94","94","4833.51611328125","4833.51611328125","4833.51611328125"
"196608","95","95","95","4866.8916015625","4866.8916015625","4866.8916015625","95","95","95","4833.66455078125","4833.66455078125","4833.66455078125"
"198656","96","96","96","4867.986328125","4867.986328125","4867.986328125","96","96","96","4834.3662109375","4834.3662109375","4834.3662109375"
"200704","98","98","98","4868.9599609375","4868.9599609375","4868.9599609375","98","98","98","4834.85986328125","4834.85986328125","4834.85986328125"
